Year,Country,SolarEnergy,WindEnergy,HydroEnergy,OtherRenewableEnergy,TotalRenewableEnergy,Decade
2000,USA,437.0861069626262,1435.928598332891,1544.3897010793887,319.3963178886665,3736.8007242635726,2000
2001,USA,240.41677639819287,402.79287643706346,398.7421406859391,439.7792655987208,1481.7310591199162,2000
2002,USA,641.0035105688879,1120.4943511348592,334.9936403028641,486.45943347289744,2582.950935479509,2000
2003,USA,849.1983767203795,476.0408439,609.1024442520711,132.53202943404523,2066.873694288255,2000
2004,USA,373.8180186635839,882.1833611219092,1034.3065316915968,181.05311308911885,2471.361024566209,2000
2005,USA,650.6676052501415,381.3420188476544,796.6459025098709,214.8628294821613,2043.518356089828,2000
2006,USA,510.4629857953323,1220.7287498109176,639.4454296692115,281.4054972861252,2652.0426625615864,2000
2007,USA,633.1731119758382,260.38553653599706,1332.826248232445,126.7358556592812,2353.1207524035617,2000
2008,USA,158.54643368675156,1433.5511984293332,1941.574456226751,413.7788066524075,3947.4508949952433,2000
2009,USA,374.1523922560336,326.9737482,1463.1961450706667,248.06862218282055,2412.390908,2000
2010,USA,209.83441136030092,843.7299831446512,358.4604858958713,459.1941809354519,1871.2190613362752,2010
2011,USA,332.9019834400152,1061.2789696601767,829.9088293519986,284.0306095300149,2508.120391982205,2010
2012,USA,592.0392514089517,440.3107921831852,1948.2938671997492,398.80977051250153,3379.453681304388,2010
2013,USA,945.5490474077702,1363.2755555559436,1316.4299639788446,464.84340576040256,4090.097972702961,2010
2014,USA,179.64325184672754,454.7777211448888,376.8863911479147,196.39864884346892,1207.706013,2010
2015,USA,449.8095607205338,552.7537413060647,1708.853766,210.5389970121152,2921.9560645969937,2010
2016,USA,352.84105871864267,905.5049081,539.5711824570965,410.9886413393178,2208.905791,2010
2017,USA,167.09557931179376,1482.9530175806724,1612.8161078043177,139.4220566903776,3402.2867613871613,2010
2018,USA,104.96990541124217,1260.0998569912845,1501.657484540949,378.0532256184443,3244.780473,2010
2019,USA,794.1433120173511,296.2580472543175,909.3917385252636,102.14107678630836,2101.9341745832407,2010
2000,China,570.4595464437946,755.8033238661145,343.2125154649618,98.55114215,1768.026527921858,2000
2001,China,128.28626711806083,1027.3335346429144,834.4051678297553,278.85681102411627,2268.881780614847,2000
2002,China,916.8098265334836,524.0798978935375,997.6509691605704,389.9980123443719,2828.538705931964,2000
2003,China,305.9183489424602,300.07388277743087,792.5774699534056,122.54957926430198,1521.119280937599,2000
2004,China,936.7278871083156,1250.556493433742,1376.7863860677198,442.15726558447295,4006.2280321942494,2000
2005,China,823.3048692,442.5410765518466,1817.3502974329624,292.7040088620428,3375.900252056055,2000
2006,China,826.6961396476563,1364.9186899005413,840.6059074521686,99.52336603745454,3131.744103037821,2000
2007,China,305.1416462877475,755.2401252141332,1690.6251020682382,437.32876246535454,3188.3356360354733,2000
2008,China,106.25691747807164,863.9714933508354,1009.5987053529244,149.9485147118286,2129.775631,2000
2009,China,207.87883060031453,638.8997228247163,1902.9464966512824,195.44131940933983,2945.1663694856534,2000
2010,China,566.9115595690295,1113.9246465637311,918.1703240447996,487.3019372244323,3086.308467401993,2010
2011,China,966.2025654479002,527.3169845729734,1145.3224600170552,185.39523941754635,2824.237249455475,2010
2012,China,356.35644493972086,247.95303156089264,1336.259367765825,276.2055604529877,2216.774404719426,2010
2013,China,146.33087612499045,562.2404035075949,1844.0520061433112,157.8028508001376,2710.4261365760344,2010
2014,China,230.4053848821008,836.2885883608319,1975.6057719880207,158.9248721801752,3201.2246174111287,2010
2015,China,704.9219926652906,1190.1054999273329,703.9838247870794,377.6973568753368,2976.70867425504,2010
2016,China,431.0048194473279,1021.9975797716534,1377.000508293521,291.0986078336413,3121.1015153461435,2010
